mlong-t5-tglobal-large_1500_lr:0.0001_prec32.csv,mlong-t5-tglobal-large_512k_lr:0.00005.csv,mt5-large_512_lr:5e-05_prec32.csv,mlong-t5-tglobal-large_1500k_lr:0.00005_bf16.csv,t5_large_NCC_512k_lr:0.00005.csv,mlong-t5-tglobal-large_512k_lr:0.00005_bf16.csv,mlong-t5-tglobal-base_512k.csv
7,7.5,7,8,7.5,8,7
7,8,8,8,8,8,8
7,8,8,8,8,8,8
8,8,8,8,8,8,8
8,8,8,8,8,8,8
7,8,8,8,8,8,8
7,8,8,8,8,8,8
7,8,8,8,8,8,8
7.5,8,8,8,8,8,8
7.5,8,8,8,8,8,8
7,8,8,8,8,8,8
8,8,8,8,8,8,8
7,8,8,8,8,8,8
7.5,8,8,8,7,8,8
7,8,8,8,8,8,8
7,8,8,8,8,8,8
7.5,8,8,8,8,8,8
7.5,8,8,8,8,8,8
7,8,8,8,8,8,8
7,8,8,8,8,8,8
8,8,8,8,8,8,8
7,8,8,9,8,8,8
7,8,8,8,8,8,8
7.5,8,8,8,8,8,8
8,8,8,8,7,8,8
7,8,8,8,8,8,8
8,8,8,8,8,8,8
8,8,8,8,8,8,8
7,8,8,8,8,8,8
7,8,8,8,8,8,8
7,8,8,8,8,8,8
7,8,8,8,8,8,8
7,8,8,8,8,8,8
7,8,8,8,8,8,8
7,8,8,8,8,8,8
7,8,8,8,8,8,8
7,8,8,8,8,8,8
7.5,8,8,8,8,8,8
7,8,8,8,8,8,8
7,8,8,8,8,8,8
7,8,8,8,8,8,8
8,8,8,8,8,8,8
7.5,8,8,8,8,8,8
7,8,8,8,8,8,8
7,8,8,8,8,8,8
7,8,8,8,8,8,8
7,8,8,8,8,8,8
7,8,8,8,8,8,8
7,8,8,8,8,8,8
7,8,8,8,8,8,8
7,8,8,8,8,8,8
8,8,8,8,8,8,8
7,8,8,8,8,8,8
8,8,8,8,7,8,8
7,8,8,8,8,8,8
7,8,8,8,8,8,8
7.5,8,8,9,8,8,8
7,8,8,8,8,8,8
7.5,8,8,8,8,8,8
7,8,8,8,8,8,8
7,8,8,8,7,8,8
8,8,8,8,8,8,8
7,8,8,8,8,8,8
7,8,8,8,8,8,8
7,8,8,8,8,8,8
7.5,8,8,8,8,8,8
8,8,8,8,8,8,8
7.5,8,8,8,8,8,8
7,8,8,8,8,8,8
7.5,8,8,8,8,8,8
7,8,8,8,8,8,8
7,8,8,8,8,8,8
7,8,8,8,8,8,8
7,8,8,8,8,8,8
8,8,8,8,8,8,8
8,8,8,8,7.5,8,8
8,8,8,8,8,8,8
7,8,8,8,8,8,8
7,8,8,8,8,8,8
8,8,8,8,8,8,8
7,8,8,8,8,8,8
7,8,8,8,8,8,8
8,8,8,9,8,8,8
7.5,8,8,8,8,8,8
7,8,8,8,8,8,8
7,8,8,8,8,8,8
7,8,8,8,8,8,8
8,8,8,8,8,8,8
7,8,8,8,8,8,8
7,8,8,8,8,8,8
7,8,8,8,8,8,8
7,8,8,8,8,8,8
7,8,8,8,8,8,8
7,8,8,8,8,8,8
8,8,8,8,8,8,8
8,8,8,8,8,8,8
7,8,8,8,8,8,8
8,8,8,8,8,8,8
8,8,8,8,8,8,8
7,8,8,8,8,8,8
8,8,8,8,8,8,8
7.5,8,8,8,8,8,8
7,8,8,8,8,8,8
7,8,8,8,8,8,8
7,8,8,8,7.5,8,8
7,8,8,8,8,8,8
7.5,8,8,8,8,8,8
7,8,8,8,8,8,8
7,8,8,8,8,8,8
7,8,8,9,8,8,8
7,8,8,8,8,8,8
7,8,8,8,8,8,8
7,8,8,8,8,8,8
7.5,8,8,8,8,8,8
7,8,8,8,8,8,8
8,8,8,8,8,8,8
8,8,8,8,8,8,8
7,8,8,8,8,8,8
7,8,8,8,8,8,8
7,8,8,8,8,8,8
7,8,8,8,8,8,8
8,8,8,8,8,8,8
7,8,8,8,8,8,8
7,8,8,8,8,8,8
7,8,8,8,8,8,8
7,8,8,9,8,8,8
